Symbol,Shortname,Currentprice,Revenuegrowth
AAPL,Apple Inc.,254.49,0.061
NVDA,NVIDIA Corporation,134.7,1.224
MSFT,Microsoft Corporation,436.6,0.16
AMZN,"Amazon.com, Inc.",224.92,0.11
GOOGL,Alphabet Inc.,191.41,0.151
GOOG,Alphabet Inc.,192.96,0.151
META,"Meta Platforms, Inc.",585.25,0.189
TSLA,"Tesla, Inc.",421.06,0.078
AVGO,Broadcom Inc.,220.79,0.164
BRK-B,Berkshire Hathaway Inc. New,453.2,-0.002
WMT,Walmart Inc.,92.24,0.048
LLY,Eli Lilly and Company,767.76,0.204
JPM,JP Morgan Chase & Co.,237.6,0.03
V,Visa Inc.,317.71,0.117
MA,Mastercard Incorporated,528.03,0.128
ORCL,Oracle Corporation,169.66,0.069
XOM,Exxon Mobil Corporation,105.87,-0.015
UNH,UnitedHealth Group Incorporated,500.13,0.092
COST,Costco Wholesale Corporation,954.07,0.01
PG,Procter & Gamble Company (The),168.06,-0.006
HD,"Home Depot, Inc. (The)",392.6,0.066
NFLX,"Netflix, Inc.",909.05,0.15
JNJ,Johnson & Johnson,144.47,0.052
BAC,Bank of America Corporation,44.17,-0.005
CRM,"Salesforce, Inc.",343.65,0.084
ABBV,AbbVie Inc.,175.58,0.038
KO,Coca-Cola Company (The),62.55,-0.008
TMUS,"T-Mobile US, Inc.",220.31,0.047
CVX,Chevron Corporation,142.85,-0.064
MRK,"Merck & Company, Inc.",98.05,0.044
WFC,Wells Fargo & Company,70.34,-0.018
CSCO,"Cisco Systems, Inc.",58.52,-0.056
ACN,Accenture plc,366.37,0.026
NOW,"ServiceNow, Inc.",1091.25,0.222
AXP,American Express Company,298.65,0.08
MCD,McDonald's Corporation,292.68,0.027
PEP,"Pepsico, Inc.",152.79,-0.006
BX,Blackstone Inc.,170.84,0.541
IBM,International Business Machines,223.36,0.015
DIS,Walt Disney Company (The),112.03,0.037
LIN,Linde plc,424.31,0.025
TMO,Thermo Fisher Scientific Inc,524.05,0.002
MS,Morgan Stanley,123.44,0.165
